ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
3,00:52.6,02:32.3,0.2,4:23,,183,187,,7.0,,,,,159,207,左 50.1%／右 49.9%,1.52,11.7,7.5,13,,3:59,162,0:52,4:20,175,68
4,00:50.1,03:22.4,0.2,4:11,,186,188,9.0,,,,,,159,209,左 49.8%／右 50.2%,1.51,11.8,7.6,13,,4:15,160,0:50,4:10,175,68
5,00:51.4,04:13.8,0.2,4:17,,190,192,,8.0,,,,,158,210,左 49.6%／右 50.4%,1.48,12.0,7.9,14,,4:16,161,00:51.4,4:17,175,68
6,00:54.3,05:08.1,0.2,4:31,,192,193,9.0,4.0,,,,,158,209,左 49.7%／右 50.3%,1.46,12.0,8.0,14,,4:19,159,0:54,4:30,175,68
7,00:51.4,05:59.4,0.2,4:17,,193,193,7.0,7.0,,,,,158,210,左 49.6%／右 50.4%,1.46,12.0,7.9,13,,4:14,159,0:51,4:15,175,68
8,00:55.3,06:54.7,0.2,4:36,,192,193,4.0,11.0,,,,,158,213,左 49.5%／右 50.5%,1.43,11.9,8.1,15,,4:18,160,00:55.3,4:36,175,68
9,00:53.2,07:47.9,0.2,4:26,,193,195,12.0,,,,,,158,211,左 49.8%／右 50.2%,1.45,11.9,7.9,14,,4:15,160,0:53,4:25,175,68
10,00:53.7,08:41.6,0.2,4:29,,193,194,,12.0,,,,,158,212,左 49.4%／右 50.6%,1.46,12.0,8.0,14,,4:14,159,00:53.7,4:29,175,68
11,00:50.5,09:32.1,0.2,4:12,,195,196,12.0,,,,,,159,212,左 49.5%／右 50.5%,1.47,11.8,7.8,13,,4:15,160,0:50,4:10,175,68
12,00:55.0,10:27,0.2,4:35,,196,198,,11.0,,,,,159,213,左 49.8%／右 50.3%,1.43,11.7,8.0,15,,4:16,160,00:55.0,4:35,175,68
13,00:51.8,11:19,0.2,4:19,,197,199,9.0,,,,,,161,212,左 49.7%／右 50.3%,1.42,11.2,7.7,14,,4:24,163,00:51.8,4:19,175,68
14,00:48.0,12:07,0.2,4:00,,199,200,,8.0,,,,,163,210,左 49.5%／右 50.5%,1.47,11.0,7.3,13,,4:04,165,0:48,4:00,175,68
15,00:48.2,12:55,0.2,4:01,,200,201,10.0,5.0,,,,,164,209,左 49.3%／右 50.7%,1.55,10.9,6.8,13,,3:56,166,0:48,4:00,175,68
16,00:01.8,12:57,0.01,2:30,,199,199,,,,,,,159,221,左 49.5%／右 50.5%,1.58,11.9,7.3,1,,3:57,159,0:01,1:25,175,68
