ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
3,00:50.4,02:30.1,0.2,4:12,,168,179,,13.0,,,,,177,203,左 48.7%／右 51.3%,1.26,8.2,6.2,10,,4:18,181,0:50,4:10,171,58
4,00:51.0,03:21.1,0.2,4:15,,186,188,12.0,,,,,,177,197,左 49.6%／右 50.4%,1.31,8.3,6.1,11,,4:02,179,0:51,4:15,171,58
5,00:52.0,04:13.1,0.2,4:20,,190,191,,12.0,,,,,177,198,左 49.4%／右 50.6%,1.3,8.3,6.2,11,,4:04,180,00:52.0,4:20,171,58
6,00:51.0,05:04.1,0.2,4:15,,191,191,12.0,5.0,,,,,176,199,左 49.2%／右 50.8%,1.33,8.4,6.1,11,,4:13,177,00:51.0,4:15,171,58
7,00:53.1,05:57.2,0.2,4:26,,193,194,,7.0,,,,,177,199,左 48.5%／右 51.5%,1.26,8.3,6.3,12,,4:18,178,0:53,4:25,171,58
8,00:55.5,06:52.7,0.2,4:38,,193,194,8.0,,,,,,178,203,左 48.2%／右 51.8%,1.25,8.0,6.2,12,,4:18,179,00:55.5,4:38,171,58
9,00:51.9,07:44.6,0.2,4:19,,195,196,7.0,9.0,,,,,179,202,左 49.4%／右 50.6%,1.22,8.0,6.3,11,,4:21,181,00:51.9,4:19,171,58
10,00:51.7,08:36.3,0.2,4:18,,196,197,7.0,12.0,,,,,179,199,左 49.6%／右 50.4%,1.22,8.1,6.4,11,,4:24,180,0:51,4:15,171,58
11,00:53.4,09:29.6,0.2,4:27,,197,197,9.0,,,,,,179,199,左 49.9%／右 50.1%,1.23,8.2,6.4,12,,4:25,180,00:53.4,4:27,171,58
12,00:52.6,10:22,0.2,4:23,,195,197,,8.0,,,,,178,202,左 49.0%／右 51.0%,1.23,8.2,6.4,12,,4:26,180,0:52,4:20,171,58
13,00:56.4,11:19,0.2,4:42,,197,197,13.0,2.0,,,,,178,203,左 50.1%／右 49.9%,1.18,8.3,6.8,12,,4:41,180,00:56.4,4:42,171,58
14,00:52.7,12:11,0.2,4:23,,198,200,,14.0,,,,,179,200,左 50.3%／右 49.7%,1.24,8.2,6.3,12,,4:18,181,0:52,4:20,171,58
15,00:55.6,13:07,0.2,4:38,,198,200,12.0,,,,,,175,204,左 49.1%／右 50.9%,1.23,8.6,6.7,13,,4:12,179,00:55.6,4:38,171,58
16,00:01.9,13:09,0.01,4:04,,200,200,,,,,,,175,201,左 47.6%／右 52.4%,1.3,8.8,6.5,0,,4:26,175,0:01,2:07,171,58
