ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:45.9,00:45.9,0.2,3:50,,154,180,,8,,,,,196,168,左 50.0%／右 50.0%,1.29,7.3,6.7,7,,3:26,214,0:43,3:35,163,48
2,00:43.5,01:29.4,0.2,3:37,,185,188,7,,,,,,195,172,左 51.4%／右 48.6%,1.39,7.4,5.1,8,,3:39,197,0:43,3:35,163,48
3,00:44.4,02:13.8,0.2,3:42,,195,201,,7,,,,,195,170,左 51.5%／右 48.5%,1.38,7.3,5.1,9,,3:41,198,00:44.4,3:42,163,48
4,00:45.4,02:59.2,0.2,3:47,,197,199,8,,,,,,193,172,左 51.3%／右 48.7%,1.36,7.6,5.3,9,,3:45,195,0:45,3:45,163,48
5,00:46.0,03:45.2,0.2,3:50,,201,203,,8,,,,,193,169,左 51.2%／右 48.8%,1.35,7.5,5.3,9,,3:47,195,00:46.0,3:50,163,48
6,00:46.1,04:31.2,0.2,3:50,,203,204,9,8,,,,,192,170,左 51.3%／右 48.7%,1.35,7.6,5.4,9,,3:50,196,0:46,3:50,163,48
7,00:47.1,05:18.3,0.2,3:55,,204,205,,2,,,,,190,174,左 51.0%／右 49.0%,1.34,7.8,5.6,10,,3:51,193,0:47,3:55,163,48
8,00:45.0,06:03.3,0.2,3:45,,205,205,9,9,,,,,189,173,左 51.1%／右 48.9%,1.36,7.7,5.5,9,,3:53,191,0:45,3:45,163,48
9,00:47.9,06:51.3,0.2,4:00,,205,206,9,,,,,,187,176,左 50.6%／右 49.4%,1.34,7.9,5.7,10,,3:54,190,00:47.9,4:00,163,48
10,00:49.0,07:40.2,0.2,4:05,,206,207,,8,,,,,186,181,左 50.7%／右 49.3%,1.31,7.9,5.8,10,,3:58,188,00:49.0,4:05,163,48
11,00:48.5,08:28.7,0.2,4:02,,206,206,9,,,,,,187,182,左 50.5%／右 49.5%,1.32,7.8,5.7,10,,4:02,190,00:48.5,4:02,163,48
12,00:49.4,09:18.1,0.2,4:07,,205,206,,8,,,,,183,190,左 50.3%／右 49.7%,1.33,8,5.8,10,,4:05,188,0:49,4:05,163,48
13,00:50.3,10:08,0.2,4:12,,205,206,13,3,,,,,181,196,左 50.1%／右 49.9%,1.31,8,5.8,10,,4:08,186,0:50,4:10,163,48
14,00:47.9,10:56,0.2,4:00,,204,205,,10,,,,,186,190,左 49.8%／右 50.2%,1.33,7.3,5.3,10,,4:05,190,00:47.9,4:00,163,48
15,00:48.8,11:45,0.2,4:04,,204,206,9,,,,,,190,198,左 49.7%／右 50.3%,1.29,6.7,5,10,,4:02,194,00:48.8,4:04,163,48
16,00:01.1,11:46,0.01,1:46,,204,204,,,,,,,193,203,左 49.8%／右 50.3%,1.3,6.1,4.5,0,,4:04,193,0:01,1:38,163,48
