ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:44.4,00:44.4,0.2,3:42,,119,139,,8,,,,,175,182,左 50.7%／右 49.3%,1.51,9.6,6.3,6,,3:23,186,0:44,3:40,171,55
2,00:44.8,01:29.3,0.2,3:44,,149,157,8,,,,,,179,185,左 50.5%／右 49.5%,1.49,9.8,6.3,8,,3:37,182,00:44.8,3:44,171,55
3,00:46.5,02:15.8,0.2,3:53,,158,161,,8,,,,,179,189,左 50.2%／右 49.8%,1.46,9.9,6.5,10,,3:46,181,00:46.5,3:52,171,55
4,00:49.2,03:05.0,0.2,4:06,,158,161,9,,,,,,176,191,左 50.0%／右 50.0%,1.4,10.3,7.1,9,,3:53,178,0:49,4:05,171,55
5,00:46.0,03:51.0,0.2,3:50,,159,164,,8,,,,,179,189,左 50.1%／右 49.9%,1.44,10,6.7,9,,3:57,180,0:46,3:50,171,55
6,00:46.5,04:37.4,0.2,3:52,,161,164,9,7,,,,,178,188,左 49.9%／右 50.1%,1.43,9.8,6.6,9,,3:57,181,0:46,3:50,171,55
7,00:45.7,05:23.1,0.2,3:48,,162,164,9,3,,,,,179,193,左 50.4%／右 49.6%,1.47,9.6,6.3,11,,3:50,181,00:45.7,3:48,171,55
8,00:46.0,06:09.1,0.2,3:50,,164,166,,8,,,,,178,192,左 50.1%／右 49.9%,1.46,9.9,6.5,10,,3:50,180,0:46,3:50,171,55
9,00:46.6,06:55.7,0.2,3:53,,170,177,7,,,,,,179,193,左 50.2%／右 49.8%,1.47,9.8,6.4,10,,3:49,181,00:46.6,3:53,171,55
10,00:45.3,07:41.0,0.2,3:46,,176,180,4,9,,,,,179,192,左 50.1%／右 49.9%,1.46,9.8,6.4,9,,3:49,180,0:45,3:45,171,55
11,00:47.7,08:28.7,0.2,3:58,,179,181,9,,,,,,178,196,左 50.1%／右 49.9%,1.45,10,6.6,11,,3:49,180,00:47.7,3:58,171,55
12,00:46.1,09:14.8,0.2,3:51,,177,182,,10,,,,,179,194,左 50.2%／右 49.8%,1.45,9.9,6.6,10,,3:50,182,0:46,3:50,171,55
13,00:47.7,10:03,0.2,3:59,,173,177,9,,,,,,178,197,左 50.0%／右 50.0%,1.43,9.9,6.7,11,,3:53,180,00:47.7,3:59,171,55
14,00:45.0,10:48,0.2,3:45,,185,188,,11,,,,,181,195,左 50.3%／右 49.8%,1.45,9.3,6.2,10,,3:49,184,00:45.0,3:45,171,55
15,00:46.2,11:34,0.2,3:51,,189,192,8,,,,,,181,197,左 49.8%／右 50.2%,1.45,9.5,6.3,10,,3:49,183,0:46,3:50,171,55
16,00:43.9,12:18,0.2,3:39,,189,192,2,8,,,,,184,192,左 50.2%／右 49.8%,1.47,9.1,5.9,10,,3:45,187,00:43.9,3:39,171,55
17,00:05.0,12:23,0.02,3:34,,190,190,,,,,,,182,199,左 50.5%／右 49.5%,1.46,9.6,6.2,1,,3:46,183,0:04,2:53,171,55
