ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:51.9,00:51.9,0.2,4:19,,143,159,,7,,,,,172,201,左 49.4%／右 50.6%,1.3,10,9.2,9,,3:42,180,00:51.9,4:19,180,65
2,00:51.4,01:43.3,0.2,4:17,,165,170,8,,,,,,181,203,左 49.0%／右 51.0%,1.25,9.1,7,11,,4:12,185,00:51.4,4:17,180,65
3,00:54.2,02:37.5,0.2,4:31,,171,175,,8,,,,,181,203,左 48.8%／右 51.3%,1.25,9.1,7.1,14,,3:46,186,0:54,4:30,180,65
4,00:49.4,03:27.0,0.2,4:07,,176,177,9,,,,,,182,193,左 48.6%／右 51.4%,1.32,9.1,6.6,11,,4:08,184,0:49,4:05,180,65
5,00:56.9,04:23.8,0.2,4:44,,176,180,,10,,,,,178,210,左 48.3%／右 51.7%,1.22,9.4,7.4,13,,4:10,180,00:56.9,4:44,180,65
6,00:52.7,05:16.5,0.2,4:23,,182,183,9,,,,,,179,206,左 48.0%／右 52.0%,1.25,9.2,7.2,13,,3:43,182,00:52.7,4:23,180,65
7,00:54.4,06:10.9,0.2,4:32,,182,185,,8,,,,,176,209,左 48.2%／右 51.8%,1.26,9.3,7.2,12,,4:22,178,0:54,4:30,180,65
8,00:56.5,07:07.4,0.2,4:42,,182,186,9,7,,,,,177,213,左 48.1%／右 51.9%,1.21,9.3,7.4,13,,4:36,179,00:56.5,4:42,180,65
9,01:00.8,08:08.2,0.2,5:04,,182,185,9,3,,,,,175,225,左 48.1%／右 51.9%,1.13,9.2,8,13,,4:33,179,01:00.8,5:04,180,65
10,01:00.5,09:08.7,0.2,5:03,,184,187,,9,,,,,175,221,左 48.2%／右 51.8%,1.14,9.3,7.9,14,,4:40,178,1:00,5:00,180,65
11,00:58.4,10:07,0.2,4:52,,185,187,9,,,,,,175,221,左 48.7%／右 51.3%,1.14,9.4,7.9,13,,5:01,177,00:58.4,4:52,180,65
12,01:03.5,11:11,0.2,5:18,,185,187,,9,,,,,176,225,左 48.8%／右 51.2%,1.09,9.1,8.1,15,,4:51,179,1:03,5:15,180,65
13,01:04.7,12:15,0.2,5:23,,185,188,8,,,,,,176,230,左 49.0%／右 51.0%,1.05,9,8.3,14,,5:05,178,01:04.7,5:23,180,65
14,01:10.2,13:26,0.2,5:51,,184,189,,8,,,,,176,236,左 48.8%／右 51.2%,1.01,8.9,8.6,15,,5:19,177,1:10,5:50,180,65
15,01:08.7,14:34,0.2,5:44,,183,186,9,,,,,,175,238,左 48.9%／右 51.1%,1,8.9,8.7,15,,4:58,179,01:08.7,5:44,180,65
16,00:03.4,14:38,0.01,4:13,,185,186,,,,,,,175,224,左 47.9%／右 52.1%,1.2,10.8,8.5,1,,4:57,176,0:02,2:28,180,65
