ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,01:04.3,01:04.3,0.2,5:21,,140,155,,,,,,,153,284,48.7% L / 51.3% R,1.08,9.9,9,13,,5:15,185,1:04,5:20,169,76
2,01:11.4,02:15.7,0.2,5:57,,155,157,10,3,,,,,169,286,50.8% L / 49.2% R,1.04,9.8,9.2,16,,5:15,171,1:11,5:55,169,76
3,01:09.4,03:25.1,0.2,5:47,,163,167,,11,,,,,170,281,50.9% L / 49.1% R,1.03,10,9.5,16,,5:41,171,01:09.4,5:47,169,76
4,01:08.7,04:33.9,0.2,5:44,,167,169,9,,,,,,171,281,51.2% L / 48.8% R,1.01,9.8,9.5,16,,5:39,173,01:08.7,5:44,169,76
5,01:12.4,05:46.3,0.2,6:02,,168,172,,13,,,,,169,284,50.7% L / 49.3% R,0.98,9.7,9.6,16,,5:47,172,1:12,6:00,169,76
6,01:09.0,06:55.3,0.2,5:45,,169,171,15,,,,,,172,279,50.6% L / 49.4% R,0.98,9.5,9.4,16,,5:31,175,1:09,5:45,169,76
7,01:07.7,08:03.0,0.2,5:39,,173,175,,14,,,,,171,280,50.7% L / 49.3% R,1.03,9.7,9.3,15,,5:35,173,1:07,5:35,169,76
8,01:12.4,09:15.4,0.2,6:02,,172,174,14,12,,,,,171,279,50.5% L / 49.5% R,0.97,9.8,9.9,17,,5:36,173,01:12.4,6:02,169,76
9,01:10.2,10:26,0.2,5:51,,172,174,14,,,,,,170,279,50.8% L / 49.2% R,0.99,9.8,9.7,16,,5:50,173,1:09,5:45,169,76
10,01:13.2,11:39,0.2,6:06,,170,173,,9,,,,,171,281,50.7% L / 49.3% R,0.95,9.8,10.1,16,,5:57,174,1:13,6:05,169,76
11,01:07.3,12:46,0.2,5:37,,173,176,,,,,,,172,280,50.5% L / 49.5% R,1.03,9.9,9.4,15,,5:37,176,01:07.3,5:37,169,76
12,01:13.3,13:59,0.2,6:06,,173,174,,,,,,,169,282,51.0% L / 49.0% R,0.97,10.2,10.3,17,,5:39,171,01:13.3,6:06,169,76
13,01:07.7,15:07,0.2,5:39,,176,179,,,,,,,170,280,51.1% L / 48.9% R,1.05,10.2,9.5,16,,4:43,172,1:06,5:30,169,76
14,01:08.3,16:15,0.2,5:42,,177,180,,6,,,,,170,280,51.2% L / 48.8% R,1.01,10.1,9.9,16,,5:26,172,01:08.3,5:42,169,76
15,01:07.4,17:23,0.2,5:37,,180,182,13,,,,,,171,273,51.3% L / 48.7% R,1.05,10.2,9.5,16,,5:21,174,1:07,5:35,169,76
16,00:01.4,17:24,0.01,2:48,,182,183,,,,,,,172,274,51.2% L / 48.8% R,1.05,10.4,9.5,0,,5:16,172,00:01.4,2:48,169,76
