ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,01:01.3,01:01.3,0.2,5:06,,137,158,,10,,,,,171,272,左 49.5%／右 50.5%,1.04,9,8.8,11,,4:12,178,0:58,4:50,169,76
2,01:04.1,02:05.4,0.2,5:21,,166,172,11,,,,,,175,270,左 49.9%／右 50.1%,1.09,9.5,8.5,15,,5:13,179,1:04,5:20,169,76
3,01:09.1,03:14.5,0.2,5:46,,173,175,,11,,,,,172,271,左 49.9%／右 50.1%,1,9.8,9.6,16,,5:24,177,1:09,5:45,169,76
4,01:10.6,04:25.1,0.2,5:53,,174,177,11,3,,,,,173,269,左 50.1%／右 49.9%,1.02,9.7,9.3,18,,5:46,176,1:10,5:50,169,76
5,01:09.4,05:34.6,0.2,5:47,,174,176,,8,,,,,173,268,左 50.1%／右 49.9%,0.99,9.6,9.5,17,,5:42,176,01:09.4,5:47,169,76
6,01:06.7,06:41.3,0.2,5:34,,174,177,8,9,,,,,174,270,左 49.5%／右 50.5%,1.03,9.2,8.8,17,,5:27,176,01:06.7,5:34,169,76
7,01:12.1,07:53.4,0.2,6:00,,176,178,5,,,,,,172,274,左 49.2%／右 50.8%,1,9.4,9.1,17,,5:28,174,1:12,6:00,169,76
8,01:11.3,09:04.7,0.2,5:57,,178,179,6,10,,,,,173,273,左 49.7%／右 50.3%,0.98,9.2,9.2,19,,5:47,175,1:11,5:55,169,76
9,01:09.2,10:14,0.2,5:46,,178,180,9,,,,,,174,271,左 49.6%／右 50.4%,1.03,9.1,8.6,17,,5:32,177,1:09,5:45,169,76
10,01:10.9,11:25,0.2,5:54,,179,180,,11,,,,,171,275,左 49.7%／右 50.3%,1.01,9.5,9.1,19,,5:28,172,01:10.9,5:54,169,76
11,01:10.8,12:36,0.2,5:54,,180,181,10,,,,,,174,272,左 49.7%／右 50.3%,1,9.2,9,18,,5:50,176,01:10.8,5:54,169,76
12,01:10.5,13:46,0.2,5:53,,181,182,,10,,,,,174,270,左 49.8%／右 50.2%,1,9.3,9.1,19,,5:42,176,1:10,5:50,169,76
13,01:11.6,14:58,0.2,5:58,,182,183,11,3,,,,,174,270,左 49.5%／右 50.5%,1.03,9.5,9,19,,5:45,177,01:11.6,5:58,169,76
14,01:04.0,16:02,0.2,5:20,,184,187,,7,,,,,177,267,左 50.3%／右 49.7%,1.07,9.2,8.4,17,,5:09,180,01:04.0,5:20,169,76
15,01:05.2,17:07,0.2,5:26,,187,188,8,9,,,,,177,265,左 50.7%／右 49.3%,1.07,9.2,8.4,18,,5:10,179,1:05,5:25,169,76
16,00:01.3,17:08,0.01,2:56,,189,189,,,,,,,177,265,左 51.6%／右 48.4%,1.05,9.4,8.6,1,,5:07,177,0:01,2:16,169,76
