ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,00:52.6,00:52.6,0.2,5:22,,116,128,,,,,,,178,234,左 49.6%／右 50.4%,1.11,8.3,8.2,6,,4:23,182,0:48,4:54,178,63
2,00:54.1,01:46.8,0.2,5:00,,141,148,,,,,,,180,234,左 50.6%／右 49.4%,1.1,8.4,7.7,9,,4:31,182,00:54.1,5:00,178,63
3,00:55.5,02:42.3,0.2,5:01,,150,152,,,,,,,179,229,左 50.6%／右 49.4%,1.12,8.4,7.7,10,,4:25,181,0:55,4:58,178,63
4,00:55.9,03:38.2,0.2,5:01,,149,152,,,,,,,177,230,左 50.5%／右 49.5%,1.14,8.6,7.7,10,,4:29,179,00:55.9,5:01,178,63
5,00:55.1,04:33.3,0.2,4:57,,150,152,,,,,,,178,231,左 50.6%／右 49.4%,1.15,8.5,7.5,10,,4:29,180,0:55,4:56,178,63
6,00:55.9,05:29.2,0.2,4:51,,152,157,,,,,,,177,230,左 50.3%／右 49.7%,1.19,8.5,7,10,,4:32,179,00:55.9,4:51,178,63
7,00:54.3,06:24.9,0.2,5:02,,150,152,,,,,,,178,226,左 50.0%／右 50.0%,1.12,8.6,7.9,10,,3:46,179,00:54.3,5:02,178,63
8,00:56.9,07:21.8,0.2,5:11,,148,150,,,,,,,176,229,左 50.1%／右 49.9%,1.11,8.7,8.1,10,,4:35,178,00:56.9,5:11,178,63
9,00:55.3,08:17.0,0.2,5:15,,150,154,,,,,,,177,226,左 50.4%／右 49.6%,1.09,8.7,8.4,10,,4:32,180,0:55,5:14,178,63
10,00:57.4,09:14.4,0.2,5:15,,153,157,,,,,,,177,231,左 50.6%／右 49.4%,1.14,8.6,7.7,10,,4:32,179,0:57,5:13,178,63
11,00:56.7,10:11,0.2,5:12,,151,155,,,,,,,177,230,左 50.3%／右 49.7%,1.07,8.6,8.6,10,,4:28,178,00:56.7,5:12,178,63
12,00:57.1,11:08,0.2,5:11,,158,160,,,,,,,177,232,左 50.3%／右 49.7%,1.1,8.6,7.9,11,,4:29,179,0:57,5:11,178,63
13,00:57.1,12:05,0.2,5:01,,155,158,,,,,,,177,228,左 50.6%／右 49.4%,1.14,8.6,7.7,10,,4:30,178,0:57,5:00,178,63
14,00:54.8,13:00,0.2,5:09,,154,158,,,,,,,178,213,左 50.4%／右 49.6%,1.15,8.5,7.3,10,,4:36,179,00:54.8,5:09,178,63
15,00:54.2,13:54,0.2,4:58,,155,157,,,,,,,177,214,左 50.3%／右 49.7%,1.13,8.5,7.3,10,,4:25,180,0:54,4:57,178,63
